months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,policy_bind_year
5,37,IN,B,500,1145.28,0,FEMALE,Associate,movies,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,20,1,?,2,1,YES,3000,500,58870,Saab,1997,N,2002
306,50,IN,A,500,1386.9,3000000,FEMALE,High School,dancing,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,6,2,YES,1,1,NO,14780,5400,48800,Honda,1995,N,1999
105,27,IL,B,2000,1161.78,5000000,MALE,MD,basketball,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,11,3,?,0,1,YES,6100,190,27630,Chevrolet,2005,N,2003
135,29,IN,A,500,1142.32,5000000,FEMALE,High School,dancing,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,21,1,NO,1,1,YES,6600,6200,39960,Toyota,2014,N,1991
105,23,IN,B,500,1447.85,2000000,FEMALE,Masters,exercise,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,14,1,YES,2,4,NO,20340,21200,48340,Accura,2005,N,2009
423,39,IN,B,2000,1290.83,0,MALE,Associate,paintball,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,12,3,YES,2,0,NO,9300,7370,69310,Saab,2011,N,2003
330,39,IN,B,1000,1467.95,0,MALE,JD,camping,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,4,3,YES,2,2,NO,12700,13400,32370,Ford,2002,N,2011
401,51,IL,A,2000,705.75,0,MALE,MD,board-games,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,2,3,YES,1,2,NO,12400,13680,22100,Honda,2007,N,2010
273,41,IN,C,1000,1066.18,0,FEMALE,Masters,movies,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,22,2,YES,2,4,YES,19100,10900,57300,Nissan,1994,N,1996
217,33,IL,B,1000,1915.85,2000000,FEMALE,MD,dancing,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,0,2,?,1,4,NO,9400,8270,45100,Accura,2005,N,2010
136,33,OH,A,1000,972.17,1000000,FEMALE,High School,board-games,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,0,2,NO,2,1,NO,9080,11300,39100,Saab,2000,N,2012
232,41,IN,B,1000,1784.67,1000000,MALE,JD,camping,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,21,2,YES,2,1,NO,23560,8900,69200,Chevrolet,2006,N,2007
